Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,I,N,NS,P,PI,S,SI,U,W,WF,WN,
,,25100,Intro Aerospace Design,202320,Spring 2023,1,10013,"Cunningham, Thomas F.",12.80%,37.20%,4.30%,,13.80%,6.40%,19.10%,2.10%,,2.10%,,1.10%,,,,,,,,,,,,1.10%,,,
,,,,,,2,10021,"De Camargo Branco, Danilo",12.00%,28.30%,4.30%,,8.70%,14.10%,19.60%,2.20%,1.10%,5.40%,,,,,3.30%,,,,,,,,,1.10%,,,
,,30000,Ugrad Junior Seminar,202320,Spring 2023,1,26217,"Marais, Karen",,,,,,,,,,,,,,,,,,,,,100.00%,,,,,,
,,30100,Sig Anly For Aero Engr,202320,Spring 2023,1,10014,"Sun, Dengfeng",28.90%,,,,25.00%,,,19.70%,,,10.50%,,,,9.20%,,,,,,,,,6.60%,,,
,,,,,,2,16255,"Sun, Dengfeng",29.50%,,,,35.90%,,,23.10%,,,5.10%,,,,3.80%,,,,,,,,,2.60%,,,
,,,Sig Anly For Aero Engr-Honors,202320,Spring 2023,1,10014,"Sun, Dengfeng",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33300,Fluid Mechanics,202320,Spring 2023,1,10015,"Shih, Tom I.",20.20%,15.50%,4.80%,,17.90%,3.60%,21.40%,4.80%,1.20%,1.20%,1.20%,,,,8.30%,,,,,,,,,,,,
,,33400,Aerodynamics,202320,Spring 2023,1,10025,"Poggie, Jonathan",14.00%,23.50%,1.50%,,14.00%,11.80%,13.20%,5.90%,3.70%,6.60%,5.10%,,,,0.70%,,,,,,,,,,,,
,,,,,,2,10028,"Poggie, Jonathan",8.60%,24.80%,4.80%,,16.20%,9.50%,11.40%,4.80%,9.50%,4.80%,4.80%,,,,,,,,,,,,,1.00%,,,
,,33401,Aerodynamics Lab,202320,Spring 2023,1,10026,"Organski, Lee E.",31.30%,6.30%,56.30%,,,,,,,,,,6.30%,,,,,,,,,,,,,,
,,,,,,5,10030,"Narayanan, Sidarth",37.50%,6.30%,50.00%,,,,6.30%,,,,,,,,,,,,,,,,,,,,
,,,,,,13,18919,"Anilkumar, Aditya",56.30%,,31.30%,,6.30%,,6.30%,,,,,,,,,,,,,,,,,,,,
,,,,,,14,18023,"Rhodes, Colin W.",50.00%,25.00%,8.30%,,8.30%,8.30%,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,18030,"Velu, Dileepan",50.00%,12.50%,25.00%,,6.30%,,,6.30%,,,,,,,,,,,,,,,,,,,
,,,,,,18,12167,"Bigelow, Tristan J.",46.70%,6.70%,46.70%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,19,23022,"Narayanan, Sidarth",53.30%,13.30%,26.70%,,,,,,,,6.70%,,,,,,,,,,,,,,,,
,,,,,,20,23023,"Boueri Alvarez, Alexandre",56.30%,12.50%,12.50%,,,6.30%,12.50%,,,,,,,,,,,,,,,,,,,,
,,,,,,21,23034,"Anilkumar, Aditya",38.50%,23.10%,15.40%,,,7.70%,7.70%,,7.70%,,,,,,,,,,,,,,,,,,
,,,,,,22,17952,"Bigelow, Tristan J.",40.00%,,60.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,23,17955,"Gajjar, Pallavi J.",50.00%,12.50%,18.80%,,,,6.30%,,6.30%,6.30%,,,,,,,,,,,,,,,,,
,,,,,,24,10032,"Gajjar, Pallavi J.",57.10%,,35.70%,,,,7.10%,,,,,,,,,,,,,,,,,,,,
,,33800,Thermal Sciences,202320,Spring 2023,1,12475,"Wang, Haifeng",25.40%,12.70%,,,23.80%,12.70%,,4.80%,4.80%,14.30%,1.60%,,,,,,,,,,,,,,,,
,,33900,Aerospace Propulsion,202320,Spring 2023,1,15895,"Anderson, William E.",13.60%,9.10%,2.30%,,12.50%,10.20%,19.30%,9.10%,2.30%,12.50%,3.40%,,3.40%,,2.30%,,,,,,,,,,,,
,,,,,,2,14589,"Anderson, William E.",14.90%,6.90%,,,9.90%,20.80%,5.00%,10.90%,2.00%,11.90%,8.90%,2.00%,5.00%,,1.00%,,,,,,,,,1.00%,,,
,,34000,Dynamics & Vibrations,202320,Spring 2023,1,10035,"Longuski, James M.",56.80%,,1.20%,,19.80%,,,14.80%,,,4.90%,,,,2.50%,,,,,,,,,,,,
,,,,,,2,10040,"LeGrand, Keith A.",36.40%,,3.30%,,45.50%,,,9.90%,,,1.70%,,,,3.30%,,,,,,,,,,,,
,,35200,Structural Analysis I,202320,Spring 2023,1,10038,"Doyle, James F.",36.80%,,,,50.60%,,,8.00%,,,2.30%,,,,2.30%,,,,,,,,,,,,
,,35201,Struct Anly I Lab,202320,Spring 2023,5,11299,"Huang, Yujun",83.30%,,,,16.70%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,26269,"Huang, Yujun",92.90%,,,,7.10%,,,,,,,,,,,,,,,,,,,,,,
,,36400,Control System Anly,202320,Spring 2023,1,10043,"Hwang, Inseok",11.50%,19.20%,5.80%,,7.70%,13.50%,11.50%,3.80%,7.70%,5.80%,3.80%,1.90%,1.90%,,3.80%,,,,,,,,,1.90%,,,
,,,,,,2,16183,"Goppert, James M.",9.20%,18.40%,8.00%,,11.50%,13.80%,10.30%,8.00%,3.40%,8.00%,,3.40%,3.40%,,2.30%,,,,,,,,,,,,
,,,,,,3,16185,"Mou, Shaoshuai",6.40%,19.10%,6.40%,,8.50%,4.30%,21.30%,9.60%,4.30%,9.60%,2.10%,1.10%,4.30%,,3.20%,,,,,,,,,,,,
,,36401,Control Systems Lab,202320,Spring 2023,1,10044,"Liang, Zihao",91.70%,,,,8.30%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,10048,"Li, Weihang",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10,12464,"Hoyos, Jose D.",66.70%,,,,25.00%,,,,,,,,,,,,,,,,,,,8.30%,,,
,,,,,,11,12466,"Liang, Zihao",72.70%,,,,,,,27.30%,,,,,,,,,,,,,,,,,,,
,,,,,,17,22582,"Li, Weihang",83.30%,,,,16.70%,,,,,,,,,,,,,,,,,,,,,,
,,40000,Ugrad Senior Seminar,202320,Spring 2023,1,67991,"Crossley, William A.",66.30%,,7.50%,,12.50%,,,12.50%,,,,,,,1.30%,,,,,,,,,,,,
,,41800,Zero-Gravity Flt Exper,202320,Spring 2023,3,10182,"Collicott, Steven H.",50.00%,34.50%,,,,,15.50%,,,,,,,,,,,,,,,,,,,,
,,42100,Flight Dynam & Control,202320,Spring 2023,1,12557,"Dai, Ran",19.20%,23.30%,23.30%,,5.80%,4.20%,16.70%,1.70%,,2.50%,,,1.70%,,1.70%,,,,,,,,,,,,
,,43800,Air-Breathing Propulsion,202320,Spring 2023,1,12476,"Qiao, Li",13.40%,17.10%,2.40%,,22.00%,18.30%,6.10%,3.70%,,14.60%,,,,,2.40%,,,,,,,,,,,,
,,,Air-BreathingPropulsion-Honors,202320,Spring 2023,1,12476,"Qiao, Li",50.00%,,,,,,50.00%,,,,,,,,,,,,,,,,,,,,
,,45000,Spacecraft Design,202320,Spring 2023,14,10055,"Cunningham, Thomas F.",95.90%,,,,4.10%,,,,,,,,,,,,,,,,,,,,,,
,,45100,Aircraft Design,202320,Spring 2023,3,10067,"Leifsson, Leifur T.",25.50%,45.90%,,,11.20%,2.00%,14.30%,1.00%,,,,,,,,,,,,,,,,,,,
,,49000,Orbital Analysis,202320,Spring 2023,65,28392,"Howell, Kathleen",10.00%,10.00%,7.50%,7.50%,20.00%,2.50%,5.00%,20.00%,2.50%,2.50%,7.50%,,,,2.50%,,,,,,,,,2.50%,,,
,,51200,Computational Aerodyn,202320,Spring 2023,WNG,10082,"Shih, Tom I.",34.00%,12.80%,10.60%,,6.40%,4.30%,25.50%,2.10%,,2.10%,,,,,,,,,,,,,,2.10%,,,
,,51400,Intermediate Aerodyn,202320,Spring 2023,1,26597,"Bane, Sally P.",50.00%,22.70%,4.50%,,,4.50%,4.50%,,,,,4.50%,,,4.50%,,,,,,,,,4.50%,,,
,,,,,,WNG,23904,"Bane, Sally P.",55.30%,17.00%,8.50%,,4.30%,,8.50%,4.30%,,2.10%,,,,,,,,,,,,,,,,,
,,52000,Exper Aerodynamics,202320,Spring 2023,11,10096,"Jewell, Joseph S.",35.00%,25.00%,20.00%,,5.00%,5.00%,10.00%,,,,,,,,,,,,,,,,,,,,
,,53900,Adv Rocket Propulsion,202320,Spring 2023,WNG,10110,"Pourpoint, Timothee L.",29.30%,6.90%,5.20%,,10.30%,10.30%,24.10%,,3.40%,5.20%,1.70%,,,,1.70%,,,,,,,,,1.70%,,,
,,54500,Dynamic Behavior Of Materials,202320,Spring 2023,1,22962,"Chen, Weinong W.",38.10%,,,,38.10%,,,19.00%,,,,,,,4.80%,,,,,,,,,,,,
,,55200,Nondes Eval Struct Mat,202320,Spring 2023,WNG,11566,"Tallman, Tyler N.",19.50%,22.00%,4.90%,,9.80%,12.20%,24.40%,,2.40%,4.90%,,,,,,,,,,,,,,,,,
,,55500,Mechan Composite Matls,202320,Spring 2023,WNG,10112,"Yu, Wenbin",9.10%,13.60%,27.30%,9.10%,9.10%,4.50%,9.10%,,,,4.50%,,,,9.10%,,,,,,,,,4.50%,,,
,,56000,System-Of-Sys Modeling & Anlys,202320,Spring 2023,WNG,58862,"Delaurentis, Daniel A.",57.10%,21.40%,,,4.80%,4.80%,9.50%,,,,,,,,2.40%,,,,,,,,,,,,
,,56700,Intro App Stoch Proc,202320,Spring 2023,1,19288,"Frazho, Arthur E.",71.70%,,,,19.60%,,,4.30%,,,2.20%,,,,2.20%,,,,,,,,,,,,
,,56800,Appl Optimal Control & Estimat,202320,Spring 2023,WNG,10116,"Hwang, Inseok",39.10%,,,2.20%,43.50%,4.30%,4.30%,4.30%,,,,,,,2.20%,,,,,,,,,,,,
,,59000,Aerospace Human Factors,202320,Spring 2023,76,15166,"Caldwell, Barrett S.",9.10%,13.60%,6.80%,6.80%,47.70%,6.80%,6.80%,,2.30%,,,,,,,,,,,,,,,,,,
,,,Appl Control In Astronautics,202320,Spring 2023,86,23203,"Oguri, Kenshiro",30.00%,,46.70%,8.30%,6.70%,,,,,,1.70%,,,,,,,,,,,,,6.70%,,,
,,,Attitude Determination & Cntrl,202320,Spring 2023,77,15242,"Frueh, Carolin E.",15.40%,11.50%,23.10%,19.20%,,,15.40%,3.80%,3.80%,3.80%,,,,,,,,,,,,,,3.80%,,,
,,,Comput Combust & Propuls,202320,Spring 2023,75,29767,"Wang, Haifeng",16.70%,38.90%,,5.60%,11.10%,5.60%,22.20%,,,,,,,,,,,,,,,,,,,,
,,,Data Sci In Mech Of Materials,202320,Spring 2023,WN2,17160,"Tomar, Vikas",13.60%,31.80%,4.50%,9.10%,4.50%,4.50%,18.20%,,4.50%,,,,,,,,,,,,,,,9.10%,,,
,,,Lie Groups In Robotics,202320,Spring 2023,90,28367,"Goppert, James M.",25.00%,,58.30%,8.30%,,,,,,,,,,,,,,,8.30%,,,,,,,,
,,,Modern Avionics,202320,Spring 2023,85,23180,"Li, Husheng",47.60%,23.80%,,14.30%,,,9.50%,,,,,,,,,,,,4.80%,,,,,,,,
,,,Multi-Agent Autonomy & Control,202320,Spring 2023,83,23109,"Mou, Shaoshuai",84.80%,,,3.00%,6.10%,,,,,,,,,,,,,,,,,,,6.10%,,,
,,,Satellite Constellations,202320,Spring 2023,87,23555,"Arnas Martinez, David",40.00%,,,20.00%,20.00%,,,7.50%,,,5.00%,,,,5.00%,,,,,,,,,2.50%,,,
,,,Spacecraft Attitude Dynamics,202320,Spring 2023,78,16394,"Howell, Kathleen",7.10%,4.80%,4.80%,,26.20%,7.10%,2.40%,31.00%,,2.40%,,4.80%,2.40%,,7.10%,,,,,,,,,,,,
,,,,,,WN1,17150,"Howell, Kathleen",20.50%,2.70%,1.40%,6.80%,21.90%,2.70%,4.10%,21.90%,2.70%,1.40%,4.10%,,1.40%,,8.20%,,,,,,,,,,,,
,,,Surrogate Methods,202320,Spring 2023,84,23178,"Leifsson, Leifur T.",38.20%,14.70%,20.60%,2.90%,8.80%,2.90%,5.90%,2.90%,2.90%,,,,,,,,,,,,,,,,,,
,,62600,Turbulence & T Model,202320,Spring 2023,WNG,17183,"Blaisdell, Gregory A.",38.20%,11.80%,11.80%,29.40%,2.90%,,2.90%,,,,,,,,,,,,,,,,,2.90%,,,
,,66600,Nonlin Dyn Syst Contrl,202320,Spring 2023,1,22909,"Corless, Martin",96.00%,,,4.00%,,,,,,,,,,,,,,,,,,,,,,,
,,69900,Research PhD Thesis,202320,Spring 2023,7,10167,"Hwang, Inseok",,,,,,,,,,,,,,,,,,,,,100.00%,,,,,,
,,,,,,16,10176,"Howell, Kathleen",,,,,,,,,,,,,,,,,,,,,100.00%,,,,,,
AAS,AAS-African American Studies,27100,Intro African American Studies,202320,Spring 2023,1,10135,"Villaver, Melvin E.",21.70%,4.30%,69.60%,,,,,,,,,,,,4.30%,,,,,,,,,,,,
,,,,,,2,10137,"Dennis, Araba F.",,17.40%,26.10%,,8.70%,8.70%,13.00%,,4.30%,8.70%,4.30%,,4.30%,,4.30%,,,,,,,,,,,,
,,37000,Black Women Rising,202320,Spring 2023,1,20165,"Tan, Mindy H.",4.20%,8.30%,62.50%,,4.20%,,4.20%,,4.20%,,,,,,4.20%,,,,,,,,,8.30%,,,
,,37100,Martin L King,202320,Spring 2023,2,22691,"Tan, Mindy H.",15.40%,,69.20%,,,,,,,,,7.70%,,,7.70%,,,,,,,,,,,,
,,47300,Blacks In Hollywood Film,202320,Spring 2023,1,10139,"Tan, Mindy H.",23.50%,11.80%,58.80%,,,,5.90%,,,,,,,,,,,,,,,,,,,,
ABE,ABE-Agri & Biol Engineering,20200,Thrmodyn In Bio Sys II,202320,Spring 2023,1,18743,"Pienaar, Elsje",23.70%,21.10%,7.90%,,15.80%,13.20%,13.20%,2.60%,,2.60%,,,,,,,,,,,,,,,,,
,,,,,,2,23992,"Liu, Junli",10.80%,18.90%,,,21.60%,13.50%,21.60%,8.10%,2.70%,2.70%,,,,,,,,,,,,,,,,,
,,21000,Thermo Prin Of Engr & Bio Sys,202320,Spring 2023,1,10446,"Freitas Dos Santos, Antonio Carlos",6.70%,6.70%,3.30%,,3.30%,10.00%,10.00%,16.70%,6.70%,6.70%,6.70%,3.30%,6.70%,,10.00%,,,,,,,,,3.30%,,,
,,22700,Biotechnology Laboratory II,202320,Spring 2023,1,24104,"Clase, Kari L.",86.70%,,,,6.70%,,,3.30%,,,,,,,,,,,,,,,,3.30%,,,
,,,,,,2,24105,"Clase, Kari L.",90.30%,,,,6.50%,,,,,,,,,,,3.20%,,,,,,,,,,,
,,,,,,3,27666,"Clase, Kari L.",79.20%,,,,8.30%,,,4.20%,,,,,,,,4.20%,,,,,,,,4.20%,,,
,,30100,Num & Comp Modeling In Bio Eng,202320,Spring 2023,1,14776,"Liu, Junli",9.50%,19.00%,11.10%,,15.90%,1.60%,20.60%,1.60%,3.20%,4.80%,,3.20%,4.80%,,4.80%,,,,,,,,,,,,
,,30400,Bioprocess Engr Lab,202320,Spring 2023,7,11756,"Engelberth, Abigail S.",21.30%,32.80%,,,,23.00%,8.20%,6.60%,,3.30%,3.30%,,1.60%,,,,,,,,,,,,,,
,,30800,Heat & Mass Trans Food&Bio Sys,202320,Spring 2023,5,12953,"Narsimhan, Ganesan",12.10%,18.20%,3.00%,,19.70%,9.10%,18.20%,3.00%,4.50%,3.00%,1.50%,,,,6.10%,,,,,,,,,1.50%,,,
,,31400,Design Of Electronic Systems,202320,Spring 2023,1,11692,"Jin, Jian",33.30%,11.10%,11.10%,,11.10%,,25.00%,,2.80%,2.80%,,,2.80%,,,,,,,,,,,,,,
,,32000,Sld Mod Dyn Sim Anly,202320,Spring 2023,1,65886,"Harlow, Stanley D.",36.40%,9.10%,,,18.20%,27.30%,,,,,,,,,,,,,,,,,,9.10%,,,
,,33000,Des Machine Components,202320,Spring 2023,1,10452,"Stwalley, Robert M.",46.70%,,6.70%,,33.30%,,6.70%,6.70%,,,,,,,,,,,,,,,,,,,
,,40600,ABE Ambassador Leadership Sem,202320,Spring 2023,1,28240,"Raturi, Ankita",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,44000,Cell & Molecular Design Prin,202320,Spring 2023,1,16902,"Proctor, Caitlin R.",31.30%,9.40%,9.40%,,9.40%,9.40%,21.90%,3.10%,3.10%,,,,,,3.10%,,,,,,,,,,,,
,,45700,Transport Oper Food&Bio Engr I,202320,Spring 2023,1,11759,"Narsimhan, Ganesan",17.70%,6.50%,4.80%,,8.10%,8.10%,19.40%,8.10%,3.20%,12.90%,6.50%,3.20%,,,1.60%,,,,,,,,,,,,
,,46000,Sensors And Process Control,202320,Spring 2023,1,15450,"Shang, Lizhi",24.10%,11.10%,,,3.70%,11.10%,22.20%,9.30%,1.90%,7.40%,3.70%,,,,1.90%,3.70%,,,,,,,,,,,
,,48600,Agricultural Engr Design,202320,Spring 2023,2,11761,"Lumkes, John H.",27.30%,18.20%,,,,,36.40%,9.10%,9.10%,,,,,,,,,,,,,,,,,,
,,51200,Good Regulatory Pract,202320,Spring 2023,1,21768,"Clase, Kari L.",93.30%,,,,,,6.70%,,,,,,,,,,,,,,,,,,,,
,,53100,Instrumentatn & Data Acquis,202320,Spring 2023,1,25996,"Cherkauer, Keith A.",33.30%,50.00%,8.30%,,8.30%,,,,,,,,,,,,,,,,,,,,,,
,,55800,Process Design Food & Bio Syst,202320,Spring 2023,1,16001,"Okos, Martin R.",23.10%,17.90%,,,43.60%,12.80%,2.60%,,,,,,,,,,,,,,,,,,,,
,,58000,Proc Engr Of Ren Res,202320,Spring 2023,1,13091,"Mosier, Nathan S.",36.20%,,,2.10%,40.40%,,,17.00%,,,2.10%,,,,,,,,,,,,,2.10%,,,
,,65100,Environmental Informatics,202320,Spring 2023,1,15495,"Cherkauer, Keith A.",28.60%,21.40%,7.10%,,7.10%,7.10%,7.10%,7.10%,,7.10%,,,,,,,,,,,,,,,,,7.10%
,,69600,Graduate Seminar,202320,Spring 2023,1,11431,"Porterfield, D. M.",,,,,,,,,,,,,,,,,,,100.00%,,,,,,,,
,,69900,Research PhD Thesis,202320,Spring 2023,36,14831,"Clase, Kari L.",,,,,,,,,,,,,,,,,,,,,100.00%,,,,,,
AD,AD-Art & Design,10500,Design I,202320,Spring 2023,1,68776,"Jacobson, Alexandra L.",21.10%,21.10%,,,15.80%,5.30%,10.50%,5.30%,5.30%,5.30%,,,,,5.30%,,,,,,,,,5.30%,,,
,,,,,,2,64613,"Wang, Canwen",23.50%,29.40%,,,17.60%,5.90%,17.60%,,,5.90%,,,,,,,,,,,,,,,,,
,,,,,,3,68777,"Wang, Canwen",17.60%,35.30%,,,5.90%,17.60%,11.80%,5.90%,,,,,,,,,,,,,,,,5.90%,,,
,,,,,,4,10220,"Song, So Young",,22.20%,,,5.60%,16.70%,22.20%,,5.60%,,5.60%,,,,16.70%,,,,,,,,,5.60%,,,
,,,,,,5,30551,"Song, So Young",,38.90%,,,16.70%,11.10%,16.70%,,5.60%,,,,,,5.60%,,,,,,,,,5.60%,,,
,,10600,Design II,202320,Spring 2023,1,20544,"McLaughlin, Madeline S.",,37.50%,12.50%,,12.50%,6.30%,25.00%,,6.30%,,,,,,,,,,,,,,,,,,
,,,,,,2,20545,"McLaughlin, Madeline S.",66.70%,6.70%,,,20.00%,,,,,,,,,,6.70%,,,,,,,,,,,,
,,,,,,3,20546,"Wang, Yuelin",6.30%,,,,,18.80%,12.50%,18.80%,6.30%,,12.50%,,,,18.80%,,,,,,,,,6.30%,,,
,,,,,,4,20547,"Wang, Yuelin",6.30%,25.00%,,,12.50%,18.80%,12.50%,25.00%,,,,,,,,,,,,,,,,,,,
,,,,,,5,20548,"Chen, Jessica A.",15.40%,23.10%,,,15.40%,15.40%,23.10%,,7.70%,,,,,,,,,,,,,,,,,,
,,,,,,6,20549,"Chen, Jessica A.",26.70%,13.30%,,,13.30%,,33.30%,,13.30%,,,,,,,,,,,,,,,,,,
,,,,,,7,20550,"Hitselberger, Brian J.",56.30%,18.80%,,,6.30%,,,,,,,6.30%,,,6.30%,,,,,,,,,6.30%,,,
,,,,,,8,25660,"Zhuo, Na",66.70%,8.30%,8.30%,,,,8.30%,,,,,,,,8.30%,,,,,,,,,,,,
,,,,,,9,25661,"Zhuo, Na",50.00%,21.40%,7.10%,,,14.30%,,,,7.10%,,,,,,,,,,,,,,,,,
,,,,,,10,18564,"Hitselberger, Brian J.",50.00%,31.30%,,,6.30%,6.30%,6.30%,,,,,,,,,,,,,,,,,,,,
,,11300,Basic Drawing,202320,Spring 2023,1,10210,"Strombeck, Michael S.",12.50%,18.80%,18.80%,,12.50%,6.30%,12.50%,,,,,,,,6.30%,,,,,,,,,6.30%,,6.30%,
,,,,,,2,10206,"Kendrick, Amanda J.",11.80%,11.80%,29.40%,,11.80%,,,,5.90%,5.90%,11.80%,,,,5.90%,,,,,,,,,,5.90%,,
,,,,,,3,10204,"Jung, Hoijin",,17.60%,17.60%,,5.90%,11.80%,17.60%,5.90%,11.80%,5.90%,5.90%,,,,,,,,,,,,,,,,
,,,,,,4,10202,"Strombeck, Michael S.",5.90%,23.50%,5.90%,,5.90%,11.80%,5.90%,11.80%,,5.90%,,5.90%,,,,,,,17.60%,,,,,,,,
,,,,,,5,10200,"Choi, Jong-un",18.80%,6.30%,25.00%,,,6.30%,6.30%,,,,,,,,6.30%,,,,12.50%,,,,,18.80%,,,
,,,,,,6,15693,"Peterson, Jessica M.",23.50%,17.60%,35.30%,,5.90%,,11.80%,5.90%,,,,,,,,,,,,,,,,,,,
,,,,,,7,10205,"Jung, Hoijin",18.80%,18.80%,18.80%,,6.30%,,12.50%,,12.50%,,,,6.30%,,,6.30%,,,,,,,,,,,
,,,,,,8,10208,"Choi, Jong-un",41.20%,5.90%,29.40%,,5.90%,11.80%,,,5.90%,,,,,,,,,,,,,,,,,,
,,,,,,9,15692,"Peterson, Jessica M.",26.70%,13.30%,40.00%,,,,13.30%,,,,,,,,,,,,,,,,,6.70%,,,
,,11400,Drawing II,202320,Spring 2023,1,10211,"Choi, Jong-un",18.80%,25.00%,56.30%,,,,,,,,,,,,,,,,,,,,,,,,
,,11700,Black And White Photography,202320,Spring 2023,1,46021,"Ridgway, Victoria J.",23.10%,,61.50%,,7.70%,,,,,,,,,,7.70%,,,,,,,,,,,,
,,,,,,2,12958,"Ridgway, Victoria J.",26.70%,,26.70%,,6.70%,,26.70%,6.70%,,,,,,,,,,,,,,,,6.70%,,,
,,11900,Color Photography,202320,Spring 2023,1,55617,"Strouse, Janell N.",86.70%,,,,6.70%,,6.70%,,,,,,,,,,,,,,,,,,,,
,,13000,Interior Design Communication,202320,Spring 2023,1,41210,"Bulow, Hannah K.",17.60%,11.80%,,,23.50%,11.80%,17.60%,,,5.90%,,,5.90%,,5.90%,,,,,,,,,,,,
,,,,,,2,15698,"Eggers, Stevi M.",31.30%,18.80%,,,18.80%,,18.80%,,6.30%,,,,,,,,,,,,,,,6.30%,,,
,,,,,,3,27222,"Eggers, Stevi M.",18.20%,18.20%,,,18.20%,,18.20%,,,,,9.10%,9.10%,,9.10%,,,,,,,,,,,,
,,14600,Design Drawing I,202320,Spring 2023,1,10227,"Sohn, Jung J.",25.00%,37.50%,12.50%,,,,6.30%,6.30%,,,,,,,,,,,,,,,,12.50%,,,
,,,,,,2,10228,"Jahani, Shima",23.50%,41.20%,23.50%,,11.80%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,11488,"Jahani, Shima",22.20%,33.30%,5.60%,,11.10%,,16.70%,,,,,,,,11.10%,,,,,,,,,,,,
,,20000,Beginning Painting,202320,Spring 2023,1,41718,"Gick, Charles A.",33.30%,41.70%,,,,,25.00%,,,,,,,,,,,,,,,,,,,,
,,,,,,2,17905,"Stetler, Victoria K.",75.00%,16.70%,,,,,,,,,,,,,,8.30%,,,,,,,,,,,
,,20100,Art For Elem Schl Tchr,202320,Spring 2023,1,10237,"Vickers, Heather G.",89.50%,,,,5.30%,,,,,,,,,,,,,,,,,,,5.30%,,,
,,,,,,7,14374,"Vickers, Heather G.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12,10223,"Vickers, Heather G.",93.80%,,,,6.30%,,,,,,,,,,,,,,,,,,,,,,
